song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,audio_valence
Boulevard of Broken Dreams,73,262333,0.00552,0.496,0.682,2.94e-05,0.0589,-4.095,0.0294,167.06,0.474
In The End,66,216933,0.0103,0.542,0.853,0.0,0.108,-6.407,0.0498,105.256,0.37
Seven Nation Army,76,231733,0.00817,0.737,0.4629999999999999,0.447,0.255,-7.827999999999999,0.0792,123.881,0.324
By The Way,74,216933,0.0264,0.451,0.97,0.00355,0.102,-4.938,0.107,122.444,0.198
How You Remind Me,56,223826,0.0009539999999999,0.447,0.7659999999999999,0.0,0.113,-5.065,0.0313,172.011,0.574
Bring Me To Life,80,235893,0.00895,0.316,0.945,1.85e-06,0.396,-3.169,0.124,189.931,0.32
Last Resort,81,199893,0.000504,0.581,0.887,0.0011099999999999,0.268,-3.659,0.0624,90.578,0.7240000000000001
Are You Gonna Be My Girl,76,213800,0.00148,0.613,0.953,0.000582,0.152,-3.435,0.0855,105.046,0.537
Mr. Brightside,80,222586,0.00108,0.33,0.936,0.0,0.0926,-3.66,0.0917,148.112,0.2339999999999999
Sex on Fire,81,203346,0.00172,0.542,0.905,0.0104,0.136,-5.653,0.054,153.398,0.374
The Middle,78,168253,0.0424,0.629,0.897,0.0,0.263,-3.401,0.0483,161.944,0.93
Numb,63,185586,0.0046,0.496,0.863,0.0,0.639,-4.1530000000000005,0.0381,110.018,0.243
Smooth Criminal,75,209266,0.00434,0.647,0.964,0.0036,0.15,-4.225,0.06,126.942,0.875
Can't Stop,81,269000,0.0179,0.618,0.938,0.0,0.1669999999999999,-3.442,0.0456,91.455,0.875
Chop Suey!,69,210240,0.0003529999999999,0.42,0.929,0.0007469999999999,0.122,-3.899,0.121,127.204,0.3
Take Me Out,77,237026,0.000423,0.278,0.6759999999999999,0.000899,0.136,-8.821,0.0371,104.545,0.494
I Miss You,71,227240,0.0013599999999999,0.659,0.778,6.79e-06,0.0841,-6.422999999999999,0.0379,110.022,0.623
Best of You,62,256600,0.00701,0.37,0.944,2.9e-06,0.135,-4.979,0.0767,130.315,0.345
I Write Sins Not Tragedies,77,187613,0.0938,0.5670000000000001,0.795,0.0,0.114,-4.985,0.134,170.06,0.635
Kryptonite,79,233933,0.00664,0.545,0.865,1.12e-05,0.168,-5.707999999999999,0.0286,99.01,0.5429999999999999
The Kill (Bury Me),69,231533,0.0014,0.309,0.912,0.000271,0.5820000000000001,-3.881,0.0646,183.035,0.302
Use Somebody,79,230760,0.00552,0.276,0.715,0.000417,0.201,-5.356,0.0432,137.028,0.173
No One Knows,13,255066,0.0137,0.518,0.5379999999999999,0.000398,0.141,-5.818,0.0486,170.953,0.687
Jerk It Out,62,195666,0.0171,0.58,0.981,1.07e-05,0.386,-2.603,0.06,134.007,0.861
Uprising,77,304840,0.000202,0.602,0.905,0.064,0.1169999999999999,-4.046,0.0775,128.019,0.411
Hey There Delilah,79,232533,0.872,0.657,0.291,0.0,0.114,-10.572,0.0293,103.973,0.298
Blurry,28,303920,0.0102,0.44,0.932,0.0,0.142,-4.488,0.0584,157.438,0.495
American Idiot,78,176346,2.64e-05,0.38,0.988,7.859999999999999e-05,0.368,-2.042,0.0639,186.113,0.769
Welcome to the Black Parade,77,311106,0.000289,0.217,0.905,0.00011,0.222,-4.103,0.0752,96.95,0.236
Gives You Hell,71,213106,0.0156,0.7140000000000001,0.725,0.0,0.0726,-6.4110000000000005,0.0402,99.988,0.59
All My Life,11,262733,0.000194,0.5820000000000001,0.597,0.000273,0.517,-5.671,0.0512,167.738,0.674
Like a Stone,77,293960,0.00797,0.614,0.568,0.0,0.0997,-5.477,0.0276,107.849,0.516
It's Been Awhile,65,264706,0.0018899999999999,0.509,0.774,0.000549,0.143,-4.053999999999999,0.0338,116.529,0.0824
I Hate Everything About You,75,231480,0.00461,0.498,0.83,0.0,0.139,-5.157,0.0421,89.34200000000001,0.4529999999999999
Rollin' (Air Raid Vehicle),74,213760,0.00506,0.599,0.932,0.0,0.2689999999999999,-3.3280000000000003,0.18,96.234,0.6920000000000001
Fat Lip,74,178266,0.000618,0.574,0.911,0.0,0.0769,-5.176,0.0715,98.075,0.573
